,id,id_offers,miasto,dzielnica,ulica,tytul,powierzchnia,cena,cena_metr,liczba_pokoi,rynek,zabudowa,pietro,liczba_pieter,ogrzewanie,rok_budowy,stan_wykonczenia,forma_wlasnosci,numer_oferty,teren_zamkniety,balkon,ogrodek,garaz_miejsce,winda,piwnica,monitoring_ochrona,latitude,longitude,czas_auto,dystans_auto,czas_zbiorowy,dystans_zbiorowy
4401,4402,4821,Gdañsk,Ujeœcisko-£ostowice,Zakoniczyn,"Mieszkanie, 33 m2, Gdañsk",33.0,279000,8455.0,2,wtorny,blok,3,4.0,miejskie,2009.0,do_zamieszkania,pelna_wlasnosc,60766257,0,0,0,0,0,1,0,54.3224506,18.5767633,1723.0,21025.0,4281.0,17253.0
4402,4403,4822,Gdynia,Wzgórze Œw. Maksymiliana,al. marsz. Pi³sudskiego,Wspaniale po³o¿one mieszkanie w starej kamienicy,56.7,590000,10406.0,2,wtorny,kamienica,parter,5.0,miejskie,1950.0,do_remontu,pelna_wlasnosc,60765753,0,0,0,0,1,1,0,54.508834,18.542406,1370.0,12920.0,2442.0,13836.0
4403,4404,4823,Gdañsk,Jelitkowo,,Apartament przy samym morzu - Tre Mare!,84.0,1830000,21786.0,3,wtorny,apartamentowiec,1,3.0,miejskie,2017.0,do_zamieszkania,,60715032,0,0,0,0,1,0,1,,,884.0,8304.0,1362.0,9195.0
4404,4405,4824,Sopot,Wyœcigi,,Sopot £okietka - Cena Spada !! Szybka Sprzeda¿,77.0,889000,11545.0,3,wtorny,kamienica,parter,2.0,gazowe,,do_zamieszkania,pelna_wlasnosc,60765127,0,0,0,0,0,1,0,,,504.0,4558.0,1197.0,5316.0
4405,4406,4825,Sopot,Centrum,Niepodleg³oœci,"3 niezale¿ne pokoje, balkon, hala gara¿owa",69.92,894906,12799.0,3,pierwotny,apartamentowiec,2,3.0,,,do_wykonczenia,pelna_wlasnosc,60764783,1,1,0,0,1,0,0,54.4431348,18.5597123,527.0,4735.0,1653.0,5919.0
4406,4407,4826,Gdañsk,Przymorze,Ko³obrzeska,Mieszkanie 2 pokoje na gdañskim Przymorzu,46.0,398000,8652.0,2,wtorny,,4,10.0,,,do_remontu,pelna_wlasnosc,60764638,0,1,0,0,0,1,0,54.40399310000001,18.5903758,308.0,1890.0,934.0,1710.0
4407,4408,4827,Gdañsk,Jasieñ,Leszczynowa,"Dwa balkony, trzy pokoje z osobn¹ kuchni¹ + Hala",69.54,575000,8269.0,3,wtorny,apartamentowiec,2,4.0,,2013.0,do_zamieszkania,,60764301,0,1,0,0,0,1,1,54.3354965,18.5591164,1321.0,10959.0,2525.0,10757.0
4408,4409,4828,Gdañsk,Che³m,,Przestronne mieszkanie dwupoziomowe na Che³mie,64.9,445000,6857.0,2,wtorny,,3,3.0,,2006.0,do_zamieszkania,,60764285,0,0,0,0,0,1,0,,,884.0,8304.0,1362.0,9195.0
4409,4410,4829,Sopot,Centrum,Niepodleg³oœci,"2 pokoje, ogródek 40 m2, hala gara¿owa",32.86,499008,15186.0,2,pierwotny,apartamentowiec,parter,3.0,,2019.0,do_wykonczenia,,60764045,1,0,1,0,1,0,0,54.4431348,18.5597123,527.0,4735.0,1653.0,5919.0
4410,4411,4830,Sopot,Centrum,Niepodleg³oœci,"3 pokoje, balkon, hala gara¿owa",68.25,869692,12743.0,3,pierwotny,apartamentowiec,3,3.0,,2019.0,do_wykonczenia,,60764043,1,1,0,0,1,0,0,54.4431348,18.5597123,527.0,4735.0,1653.0,5919.0
4411,4412,4831,Gdynia,Grabówek,Morska,Gotowiec inwestycyjny! Gdynia 7600 z³/zysku mcznie,116.21,1200000,10326.0,6,wtorny,,3,3.0,gazowe,1993.0,,pelna_wlasnosc,60763835,0,0,0,0,0,0,0,54.537902700000004,18.4729157,1496.0,22300.0,3161.0,19561.0
4412,4413,4832,Gdañsk,Ujeœcisko-£ostowice,Niepo³omicka,3 pokoje w nowoczesnym budynku!!!,51.5,380000,7379.0,3,wtorny,,2,4.0,,2016.0,do_zamieszkania,,60763777,0,1,0,0,0,0,0,54.3099545,18.5990052,1671.0,13920.0,4321.0,17113.0
4413,4414,4833,Gdañsk,Ujeœcisko-£ostowice,Jaworzniaków,Spokojna okolica. Mieszkanie z du¿ym ogrodem.,60.58,474000,7824.0,3,wtorny,blok,parter,3.0,miejskie,2013.0,do_zamieszkania,pelna_wlasnosc,60763624,0,0,1,0,1,0,1,54.3149368,18.573200399999998,1585.0,18741.0,3854.0,15517.0
4414,4415,4834,Gdañsk,Osowa,Wodnika,Mieszkanie 5 pokoi z mo¿liwoœci¹ podzia³u,120.0,620000,5167.0,5,wtorny,,4,5.0,,1998.0,,,60763543,0,1,0,0,0,1,0,54.420205,18.4785426,964.0,9494.0,2053.0,10775.0
4415,4416,4835,Sopot,Centrum,al. Niepodleg³oœci,Przestronne mieszkanie w centrum Sopotu! 80m2,80.0,699000,8738.0,3,wtorny,kamienica,2,3.0,gazowe,1940.0,,pelna_wlasnosc,60763282,0,1,0,0,0,1,0,54.4431348,18.5597123,527.0,4735.0,1653.0,5919.0
4416,4417,4836,Gdañsk,Wrzeszcz,Boles³awa Chrobrego,Piêkny 3 pok. Apartament z Ogródkiem Mila Baltica,68.14,900000,13208.0,3,wtorny,,parter,4.0,,2017.0,do_zamieszkania,pelna_wlasnosc,60723033,0,0,1,0,0,0,0,54.3916581,18.617118899999998,656.0,5056.0,2044.0,8314.0
4417,4418,4837,Gdynia,Witomino,Wielkokacka,S³oneczna kawalerka do zamieszkania od zaraz!,37.73,299000,7925.0,1,wtorny,blok,3,10.0,miejskie,1979.0,do_remontu,pelna_wlasnosc,60644301,0,0,0,0,1,0,0,54.4962708,18.508676899999998,1317.0,12983.0,2846.0,15946.0
4418,4419,4838,Gdañsk,Jasieñ,¯yczliwa,Mieszkanie z ogrodem oraz widokiem na Jezioro,65.6,610000,9299.0,3,wtorny,blok,parter,3.0,miejskie,2010.0,do_zamieszkania,pelna_wlasnosc,60614130,0,0,1,0,1,1,0,54.3457174,18.5304025,1209.0,13404.0,2322.0,9934.0
4419,4420,4839,Gdynia,Œródmieœcie,Józefa Bema,Gdynia Œródmieœcie spacerem na bulwar,63.0,579000,9190.0,3,wtorny,kamienica,parter,3.0,,1950.0,do_zamieszkania,,60762753,0,0,0,0,0,1,0,54.5099308,18.539556100000002,1358.0,12788.0,2333.0,13693.0
4420,4421,4840,Gdañsk,Suchanino,,Mieszkanie - Gdañsk Suchanino,56.12,529000,9426.0,3,wtorny,blok,parter,10.0,miejskie,1978.0,do_zamieszkania,spoldzielcze_wl._z_KW,60295432,0,0,0,0,1,1,0,,,884.0,8304.0,1362.0,9195.0
4421,4422,4841,Gdañsk,Œródmieœcie,D³uga,Apartament | ul. D³uga | Inwestycja | Stare Miasto,62.35,830000,13312.0,3,wtorny,kamienica,1,4.0,miejskie,1952.0,do_zamieszkania,pelna_wlasnosc,60655801,0,0,0,0,0,0,0,54.34921410000001,18.6502683,1106.0,9197.0,2168.0,9034.0
4422,4423,4842,Gdynia,Ob³u¿e,in¿. J. Œmidowicza,"18min do Centrum 2km do plazy, z garazem, ogródek",60.0,399000,6650.0,4,pierwotny,,parter,3.0,,2020.0,do_wykonczenia,pelna_wlasnosc,60762419,0,0,0,0,0,0,0,54.542047600000004,18.545951199999998,1848.0,26428.0,3367.0,22927.0
4423,4424,4845,Gdañsk,Wrzeszcz,al. gen. Józefa Hallera,Dwupoziomowe mieszkanie we Wrzeszczu z ogrodem,74.0,700000,9459.0,3,wtorny,kamienica,parter,2.0,miejskie,1924.0,do_zamieszkania,pelna_wlasnosc,60923262,0,0,1,0,0,1,0,54.392075399999996,18.6225242,811.0,6020.0,1750.0,7942.0
4424,4425,4846,Gdañsk,Ujeœcisko-£ostowice,Mariana Ko³odzieja,Ujeœcisko/ Dwa Osobne Pokoje,50.29,420000,8352.0,2,wtorny,blok,3,3.0,miejskie,2012.0,do_zamieszkania,pelna_wlasnosc,60878131,0,1,0,0,1,0,1,54.3338971,18.5855083,1405.0,11777.0,3567.0,14442.0
4425,4426,4847,Sopot,Górny,Armii Krajowej,Klimatyczny apartament 1000m od pla¿y,63.81,979000,15342.0,3,wtorny,,2,3.0,,2009.0,do_zamieszkania,pelna_wlasnosc,60689673,0,1,0,0,0,0,0,54.4392892,18.5570652,523.0,4368.0,1684.0,6016.0
4426,4427,4855,Gdynia,Oksywie,p³k. Stanis³awa D¹bka,Przestronne i s³oneczne mieszkanie 3 pokojowe,52.68,379000,7194.0,3,wtorny,blok,parter,4.0,miejskie,1980.0,do_zamieszkania,pelna_wlasnosc,60761902,0,1,0,0,0,1,1,54.5568774,18.5179117,1635.0,25051.0,3503.0,22400.0
4428,4429,4857,Sopot,Kamienny Potok,Wejherowska,Sopot Kamienny Potok - mieszkanie dwupoziomowe,91.7,740000,8070.0,4,wtorny,,parter,1.0,,,,,60761382,0,0,1,0,0,1,0,54.4552478,18.554058899999998,686.0,6217.0,1730.0,7711.0
4431,4432,4860,Gdynia,Ob³u¿e,,Zadbane 2 pokojowe mieszkanie w Gdyni Ob³u¿e!,39.0,310000,7949.0,2,wtorny,blok,4,4.0,miejskie,1989.0,do_zamieszkania,pelna_wlasnosc,60506810,0,0,0,0,0,1,0,,,1524.0,14737.0,1602.0,14053.0
4432,4433,4861,Sopot,Dolny,,Mieszkanie w zadbanej kamienicy w Sopocie!,45.0,584000,12978.0,3,wtorny,kamienica,2,2.0,gazowe,1920.0,do_zamieszkania,pelna_wlasnosc,60486443,0,0,0,0,0,1,0,,,504.0,4558.0,1197.0,5316.0
4433,4434,4866,Gdynia,Ob³u¿e,kpt. Antoniego Ledóchowskiego,3 pokoje|Szko³a|3 piêtro,60.4,379000,6275.0,3,wtorny,blok,2,3.0,miejskie,1985.0,do_zamieszkania,pelna_wlasnosc,60489433,0,0,0,0,0,0,0,54.55974250000001,18.5072663,1566.0,24541.0,3275.0,20408.0
4434,4435,4868,Gdynia,Witomino,Witomino-Radiostacja,Mieszkanie - Gdynia Witomino Radiostacja,24.52,275000,11215.0,1,wtorny,blok,2,4.0,miejskie,1969.0,do_zamieszkania,pelna_wlasnosc,60759795,0,1,0,0,0,1,0,54.5003137,18.5089968,1399.0,13110.0,2708.0,15424.0
4435,4436,4869,Gdynia,Witomino,Pogodna,Przytulna kawalerka na Witominie,24.52,275000,11215.0,1,wtorny,blok,2,4.0,miejskie,1969.0,do_zamieszkania,pelna_wlasnosc,60759564,0,1,0,0,0,1,0,54.500208900000004,18.5069221,1436.0,13335.0,2851.0,15624.0
4436,4437,4870,Gdynia,Pogórze,pp³k. Kazimierza Pruszkowskiego,Mieszkanie Z Zachwycaj¹cym Widokiem Na Morze,60.0,395000,6583.0,3,wtorny,blok,7,8.0,,,,pelna_wlasnosc,60759455,0,0,0,0,1,1,0,54.561853,18.484018300000002,1850.0,26651.0,3532.0,22117.0
4437,4438,4871,Gdynia,Oksywie,in¿. J. Œmidowicza,"18 min do Centrum, 2km do pla¿y ostatnie mieszkani",34.1,241100,7070.0,2,pierwotny,,2,3.0,,2020.0,do_wykonczenia,pelna_wlasnosc,60759302,0,1,0,0,1,1,1,54.542047600000004,18.545951199999998,1848.0,26428.0,3367.0,22927.0
4438,4439,4872,Gdynia,Ob³u¿e,in¿. J. Œmidowicza,"blisko pla¿y i lasu ! z ogródkiem , 10min do Centr",36.34,270000,7430.0,2,pierwotny,,parter,3.0,,2020.0,do_wykonczenia,pelna_wlasnosc,60759298,0,0,1,0,1,1,1,54.542047600000004,18.545951199999998,1848.0,26428.0,3367.0,22927.0
4439,4440,4873,Gdañsk,Ujeœcisko-£ostowice,Pastelowa,Nowe mieszkanie z potencja³em aran¿cji,105.57,552000,5229.0,3,pierwotny,,3,4.0,miejskie,,do_wykonczenia,pelna_wlasnosc,60679690,0,1,0,0,0,0,0,54.30976889999999,18.6007628,1694.0,14081.0,4473.0,18954.0
4440,4441,4874,Gdañsk,Siedlce,,"Mieszkanie, 46,25 m2, Gdañsk",46.25,369000,7978.0,2,wtorny,kamienica,1,3.0,,,,,60758932,0,0,0,0,0,1,0,,,884.0,8304.0,1362.0,9195.0
4441,4442,4875,Gdañsk,Wrzeszcz,Stefana Batorego,Kawalerka we Wrzeszczu - idealna lokalizacja,25.6,280000,10938.0,1,wtorny,blok,parter,4.0,miejskie,,,pelna_wlasnosc,60758747,0,0,0,0,0,0,0,54.37718620000001,18.6004972,517.0,4239.0,1187.0,4455.0
4442,4443,4876,Gdañsk,Orunia-Œw. Wojciech-Lipce,Orunia,Piêkne 3 Pokojowe Mieszkanie Po Remoncie Orunia!,45.0,419000,9311.0,3,wtorny,blok,10,10.0,miejskie,1970.0,do_zamieszkania,,60533947,0,0,0,0,1,0,0,54.320451399999996,18.6383722,1413.0,12348.0,2142.0,13317.0
4443,4444,4877,Gdañsk,Piecki-Migowo,Budapesztañska,Jasne przestronne 4 pokoje Morena Widok gara¿,99.99,1090000,10901.0,4,wtorny,apartamentowiec,2,3.0,miejskie,2005.0,do_zamieszkania,,60758705,1,1,0,0,0,0,1,54.35405979999999,18.5806848,1067.0,8135.0,,
4444,4445,4886,Gdañsk,Piecki-Migowo,Piecewska,Nowa Cena! Dwupokojowe na Morenie,42.0,399000,9500.0,2,wtorny,blok,5,10.0,miejskie,1980.0,do_zamieszkania,,60409247,0,0,0,0,1,0,0,54.3588544,18.5863534,914.0,7590.0,1995.0,7744.0
4445,4446,4887,Gdynia,Wielki Kack,,Dwupoziomowe Z Antresol¹,101.81,505792,4968.0,4,pierwotny,blok,2,2.0,miejskie,2020.0,do_wykonczenia,pelna_wlasnosc,60482591,0,1,0,0,1,0,0,,,1524.0,14737.0,1602.0,14053.0
4447,4448,4889,Gdynia,Ob³u¿e,,Cztery pokoje z oknami na trzy strony œwiata!,57.84,451584,7807.0,4,pierwotny,blok,1,3.0,miejskie,2020.0,do_wykonczenia,pelna_wlasnosc,60756900,0,1,0,0,0,0,0,,,1524.0,14737.0,1602.0,14053.0
4448,4449,4890,Gdynia,Oksywie,,Mieszkanie 3-pokojowe z systemem Smart,42.6,367718,8632.0,2,pierwotny,blok,parter,3.0,miejskie,2021.0,do_wykonczenia,pelna_wlasnosc,60707114,0,1,0,0,0,1,0,,,1524.0,14737.0,1602.0,14053.0
4449,4450,4891,Gdynia,Oksywie,,Kawalerka w Gdyni. Rabat do koñca tygodnia!,28.9,284181,9833.0,2,pierwotny,blok,1,3.0,,2021.0,,,60754747,0,0,0,0,1,0,0,,,1524.0,14737.0,1602.0,14053.0
4450,4451,4892,Gdañsk,Piecki-Migowo,ul. prof. Stefana Hausbrandta,"Mieszkanie na piêknym osiedlu, m.parking.na 2 auta",47.67,499000,10468.0,2,wtorny,blok,5,6.0,miejskie,2015.0,do_zamieszkania,pelna_wlasnosc,60683226,0,1,0,0,0,0,1,54.3491085,18.5862261,1077.0,8564.0,2563.0,9061.0
4451,4452,4893,Gdañsk,Ujeœcisko-£ostowice,ul. Olimpijska,2-Pokoje S³oneczne Piêkny Widok Do Zamieszkania!!!,48.0,389000,8104.0,2,wtorny,blok,3,3.0,miejskie,2015.0,do_zamieszkania,pelna_wlasnosc,60806102,1,1,0,0,0,1,1,54.3069728,18.5877344,1764.0,14448.0,4146.0,17623.0
4452,4453,4894,Gdañsk,Œródmieœcie,Szafarnia,Wysoki Standard / Serce Gdañska / Taras,67.0,1220000,18209.0,3,wtorny,apartamentowiec,4,5.0,,2012.0,do_zamieszkania,pelna_wlasnosc,60848597,1,1,0,0,1,0,1,54.34889079999999,18.660293799999998,1299.0,10655.0,2813.0,9904.0
4453,4454,4895,Gdynia,Oksywie,,"Naro¿ne , S³oneczne , W Cenie Pakiet Smart",57.8,451584,7813.0,4,pierwotny,blok,1,3.0,miejskie,2021.0,do_wykonczenia,pelna_wlasnosc,60754986,0,1,0,0,0,0,0,,,1524.0,14737.0,1602.0,14053.0
