,id,id_offers,miasto,dzielnica,ulica,tytul,powierzchnia,cena,cena_metr,liczba_pokoi,rynek,zabudowa,pietro,liczba_pieter,material_budynku,okna,ogrzewanie,rok_budowy,stan_wykonczenia,czynsz,forma_wlasnosci,numer_oferty,teren_zamkniety,balkon,ogrodek,garaz_miejsce,winda,piwnica,monitoring_ochrona,latitude,longitude
39,40,47,Gdañsk,Nowy Port,ul. Na Zaspê,Sprzedam mieszkanie,43.57,374702,8600.0,2,wtorny,kamienica,parter,4.0,cegla,plastikowe,gazowe,,do_zamieszkania,250.0,pelna_wlasnosc,60601944,0,0,0,0,0,1,0,54.40138109999999,18.6697467
40,41,48,Gdañsk,Wrzeszcz,al. gen. Józefa Hallera 92,Mieszkanie 4 pokojowe na Hallera 92,74.0,550000,7432.0,4,wtorny,kamienica,1,3.0,cegla,plastikowe,miejskie,1945.0,do_zamieszkania,700.0,pelna_wlasnosc,60959374,0,0,0,0,0,1,0,54.3843825,18.6216732
41,42,49,Gdynia,Witomino,Witomino-Leœniczówka,Apartament w Gdyni Witomino,58.18,549000,9436.0,3,pierwotny,apartamentowiec,1,2.0,silikat,plastikowe,miejskie,2021.0,do_wykonczenia,290.0,pelna_wlasnosc,60596622,0,1,0,0,1,1,0,54.4956247,18.5069028
42,43,50,Gdañsk,Ujeœcisko-£ostowice,Konrada Guderskiego,"Przestronne, s³oneczne, 3-pok. Zakoniczyn",57.3,425000,7417.0,3,wtorny,blok,3,3.0,,,miejskie,2011.0,do_zamieszkania,400.0,pelna_wlasnosc,60956046,1,1,0,0,0,1,1,54.3198958,18.5626349
43,44,51,Gdañsk,Wrzeszcz,Do Studzienki,58m centrum Wrzeszcza przy parku i Manhattanie!,58.0,519000,8948.0,2,wtorny,blok,1,4.0,cegla,plastikowe,miejskie,2000.0,do_zamieszkania,500.0,pelna_wlasnosc,60959174,0,1,1,0,0,1,1,54.3715273,18.6108184
44,45,52,Gdynia,Oksywie,,Gotowe do odbioru - 3 pokoje z ogrodem,49.3,426445,8650.0,3,wtorny,blok,parter,3.0,cegla,plastikowe,miejskie,2019.0,do_wykonczenia,180.0,pelna_wlasnosc,60959187,0,1,0,0,0,1,0,,
45,46,53,Gdañsk,Ujeœcisko-£ostowice,Borkowska,Nowe osiedle - wysoki standard - ogród - zachód,62.0,415192,6697.0,3,pierwotny,blok,parter,3.0,,,miejskie,2019.0,do_wykonczenia,,pelna_wlasnosc,60959125,1,0,1,0,1,0,1,54.2954351,18.6194345
46,47,55,Gdañsk,Siedlce,ul. Kolonia Zrêby,Tylko u Nas ! 3 pokoje z balkonem i osobn¹ kuchni¹,60.6,449900,7424.0,3,wtorny,blok,1,4.0,inne,plastikowe,miejskie,1983.0,do_remontu,600.0,pelna_wlasnosc,60936297,0,1,0,0,0,1,0,54.3515793,18.6040162
47,48,56,Gdañsk,Letnica,ul. Starowiejska 56,Apartament 4 pokoje Wysoki Standard (Ogródek 70m2),80.0,795000,9938.0,4,wtorny,blok,parter,6.0,,drewniane,miejskie,2019.0,do_zamieszkania,700.0,pelna_wlasnosc,60193918,0,0,1,0,0,0,0,54.3952874,18.6448573
48,49,57,Gdañsk,Osowa,Nike,Kawalerka Z Du¿ym Balkonem Na Osowej,34.0,310000,9118.0,1,wtorny,blok,1,4.0,,,miejskie,2013.0,do_zamieszkania,350.0,pelna_wlasnosc,60878174,1,1,0,0,1,0,1,54.3823847,18.5997455
49,50,58,Gdañsk,Piecki-Migowo,Heleny Marusarzówny,S³oneczne mieszkanie z balkonem Gdañsk Morena,60.1,495000,8236.0,3,wtorny,blok,1,4.0,,,miejskie,1986.0,do_zamieszkania,,spoldzielcze_wlasnosciowe,60959119,0,0,0,0,0,0,0,54.3577597,18.5766797
50,51,59,Gdañsk,Ujeœcisko-£ostowice,Hokejowa,Przytulne 2 pokojowe w nowej inwestycji-£ostowice,50.9,399000,7839.0,2,wtorny,blok,3,3.0,pustak,,miejskie,2017.0,do_zamieszkania,450.0,pelna_wlasnosc,60959102,0,0,0,0,1,0,0,54.3087923,18.5947394
51,52,60,Gdañsk,Przymorze,Obroñców Wybrze¿a,Gdañsk Przymorze. Rewelacyjne mieszkanie w falowcu,46.0,399000,8674.0,2,wtorny,,2,10.0,,,,1973.0,,500.0,spoldzielcze_wlasnosciowe,60958928,0,1,0,0,0,1,0,54.40920699999999,18.596603
52,53,61,Gdynia,Œródmieœcie,ul. Antoniego Abrahama,"Super oferta, mieszkanie w Gdyni ul. Abrahama",55.0,495000,9000.0,3,wtorny,blok,5,5.0,,,miejskie,,do_zamieszkania,,pelna_wlasnosc,60933833,0,1,0,0,0,1,0,54.5161674,18.5397435
53,54,62,Gdañsk,Przymorze,Piastowska 163,Przytulne mieszkanko 900 metrów od morza,31.72,360000,11349.0,2,wtorny,blok,parter,4.0,,plastikowe,miejskie,,do_zamieszkania,190.0,pelna_wlasnosc,60958759,0,0,1,0,0,0,1,54.418009,18.592979
54,55,64,Gdañsk,Przymorze,Rzeczypospolitej,2 Pokojowe Mieszkanie Po Generalnym Remoncie !!,37.0,425000,11486.0,2,wtorny,,parter,10.0,,,,1975.0,,,,60958684,0,1,0,0,0,1,0,54.3959972,18.5995137
55,56,65,Gdañsk,Œródmieœcie,Angielska Grobla,Okazja! Apartamenty przy Starówce w Riverview!,33.3,495000,14865.0,1,wtorny,blok,3,4.0,cegla,,,2019.0,,200.0,,60958669,0,0,0,0,1,0,0,54.3506474,18.6652889
56,57,76,Gdynia,Oksywie,Bosmañska,Osiedle dobrze skomunikowane z reszt¹ miasta,35.06,303269,8650.0,2,pierwotny,,parter,3.0,,,,2021.0,,,,60928782,0,0,0,0,1,0,1,54.5489186,18.5320258
57,58,77,Gdañsk,BrzeŸno,ul. Ksawerego Dunikowskiego,2 pokoje z oddz. kuch - 400 metrów od pla¿y,44.2,369000,8348.0,2,wtorny,blok,3,4.0,wielka_plyta,drewniane,miejskie,1974.0,do_remontu,435.0,pelna_wlasnosc,60868800,0,1,0,0,0,1,0,54.4042152,18.6425107
58,59,80,Gdañsk,Che³m,Nieborowska,"mieszkanie 2 pokoje, gara¿",55.5,499000,8991.0,2,wtorny,blok,2,4.0,,,,2008.0,do_zamieszkania,300.0,,60958467,0,0,0,0,1,0,0,54.3307249,18.6061217
59,60,82,Gdañsk,Anio³ki,Powstañców Warszawskich,Mieszkanie - Gdañsk Anio³ki,64.74,615030,9500.0,3,pierwotny,blok,1,3.0,,,miejskie,2022.0,,,,60899078,0,1,0,0,0,0,1,54.3564294,18.6203736
60,61,83,Gdañsk,Przeróbka,Teofila Lenartowicza,Przeróbka/ 3 Pokoje/ 5 Min Do Starówki,50.26,389000,7740.0,3,wtorny,kamienica,2,2.0,cegla,,miejskie,,do_zamieszkania,,pelna_wlasnosc,60501503,0,0,0,0,0,1,0,54.3583838,18.687624
61,62,84,Sopot,Wyœcigi,,Sopot £okietka - Cena Spada !! Szybka Sprzeda¿,77.0,889000,11545.0,3,wtorny,kamienica,parter,2.0,,,gazowe,,do_zamieszkania,,pelna_wlasnosc,60765127,0,0,0,0,0,1,0,,
62,63,85,Gdañsk,Piecki-Migowo,Myœliwskie Wzgórze,"Morena,4 pokoje z ogrodem,z miejscami postojowymi!",89.3,960000,10750.0,4,wtorny,blok,parter,4.0,,,,2012.0,do_zamieszkania,,pelna_wlasnosc,60958455,1,0,0,0,1,0,1,54.3482853,18.5630968
63,64,86,Gdañsk,Przymorze,Obroñców Wybrze¿a,Przymorze/ 2 Pokoje/ Blisko Morza/ Po remoncie,38.0,379000,9974.0,2,wtorny,blok,3,10.0,,,,1976.0,do_zamieszkania,,,60958449,0,0,0,0,1,0,0,54.40920699999999,18.596603
64,65,87,Gdañsk,Brêtowo,NiedŸwiednik,"Komfortowe trzy pokoje - Gdañsk, NiedŸwiednik",61.0,549000,9000.0,3,wtorny,blok,parter,10.0,wielka_plyta,plastikowe,miejskie,1986.0,do_zamieszkania,,,60958426,0,1,0,0,1,1,0,54.37682650000001,18.5653569
65,66,90,Gdynia,Oksywie,Bosmañska,Mieszkanie blisko morza i lasów - Gdynia,26.49,266255,10051.0,1,pierwotny,,3,3.0,,,,2021.0,,,,60914080,0,0,0,0,1,0,1,54.5489186,18.5320258
66,67,92,Gdañsk,Che³m,,Urokliwe miejsce pe³ne udogodnieñ - Gdañsk Che³m,35.34,254448,7200.0,2,pierwotny,,1,2.0,,,,2021.0,,,,60906489,0,1,0,0,0,0,0,,
67,68,93,Gdañsk,¯abianka,Bitwy Oliwskiej,"S³oneczna Kawalerka na ¯abiance 28,4 m2",28.4,270000,9507.0,1,wtorny,blok,6,10.0,wielka_plyta,plastikowe,miejskie,1980.0,do_wykonczenia,,spoldzielcze_wlasnosciowe,60958353,0,1,0,0,1,1,0,54.4203042,18.566942
68,69,94,Gdañsk,Che³m,,Mieszkanie z dogodn¹ komunikacj¹ - Gdañsk Che³m,34.08,245376,7200.0,2,pierwotny,,parter,2.0,,,,2021.0,,,,60906484,0,1,0,0,0,0,0,,
69,70,96,Gdañsk,BrzeŸno,ul. Letnicka,NOWE Perfekcyjne 2 pokoje - 750m od pla¿y,43.45,499000,11484.0,2,wtorny,blok,2,5.0,pustak,plastikowe,miejskie,2020.0,do_zamieszkania,385.0,pelna_wlasnosc,60882319,0,1,0,0,0,1,1,54.402272,18.6512302
70,71,105,Gdañsk,BrzeŸno,ul. Konrada Korzeniowskiego,Piêkne mieszkanie blisko pla¿y - Gdañsk BrzeŸno !!,59.0,649000,11000.0,3,wtorny,blok,parter,4.0,beton,plastikowe,miejskie,,do_zamieszkania,,spoldzielcze_wlasnosciowe,60854829,0,1,0,0,0,1,0,54.40678680000001,18.6326758
